Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
【Popular No.1 Topics in United States of America!】 #Donald_Trump #WWE_Raw #President_of_the_United_States Why WWE hasn't talke,1/11/2021 22:07,en,,0,0,,Entertainment Trends in the World & Reactions!,"We tweet information of 24 countries in 1 country, 1 day in 1 hour. The latest entertainment trend information and everyone's reaction! Inquiry from ↓ account",79731,5119,403,360,2,FALSE,,,@entenkwkm
"#Facebook When You Are Done Suspending #US #Donald_Trump's Account As Well As Cohorts Of #Ugandan #Yoweri_Museveni's, Please Turn Your Hand To #Abiy_Ahmed Of #Ethiopia
https://t.co/fWRw5XPBzT",1/11/2021 19:40,en,,2,0,,Kiflu Hussain,An Ethiopian social and political commentator stretching in exile from Uganda to USA.,7289,381,212,2177,24,FALSE,,,@HussainKiflu
"@ihatecodee BUY and Sell #Bitcoin on #Burency_exchange Facts! Fees as low as 0.2%. More you trade, the lower your rate.
#Bitcoin #News #Joen_Biden #BTC #Buy_Token #Burency #USA #Cryptocurrency #White_House #Coinmarketcap #Tron #TRX #COVID-19 
#Donald_Tr",1/11/2021 17:24,en,,3,0,@ihatecodee,Selen☯️,"Interested in the world of #crypto
#bitcoin #eth #buy",70,351,179,35,0,FALSE,,,@Selen28988357
"@KlausLovgreen Trade on the #burency_exchange 
#Bitcoin  #DV2020 #Bitcoin #News #Joen_Biden #BTC #Buy_Token #Burency #USA #Cryptocurrency #White_House #Coinmarketcap #Tron #TRX #COVID-19 
#Donald_Trump #Blockchain #Crypto #Explore #Ripple #XRP #Exchange",1/11/2021 15:02,en,,1,0,@KlausLovgreen,Selen☯️,"Interested in the world of #crypto
#bitcoin #eth #buy",70,351,179,35,0,FALSE,,,@Selen28988357
"@TheMoonCarl Trade #Bitcoin  on #Burency_exchange

#Bitcoin #News #Joen_Biden #Buy_Token  #USA #Cryptocurrency #White_House #Coinmarketcap #Tron #TRX #COVID 
#Donald_Trump #Blockchain #Crypto #Explore #Ripple #XRP #Exchanges #XTZ #Iphon #Apple #Ethereu",1/11/2021 12:27,en,,2,1,@TheMoonCarl,Selen☯️,"Interested in the world of #crypto
#bitcoin #eth #buy",70,351,179,35,0,FALSE,,,@Selen28988357
"#politics NEW LINKS TO REMOVING TRUMP #Donald_Trump #Trump #removal #DCRIOTS 
https://t.co/ofjHeb1PXQ",1/11/2021 10:25,en,,0,0,,"Tom Gillispie, WRITER/EDITOR","★ READING ★ WRITING ★ DOGS ★ FOOTBALL ★MIAMI DOLPHINS ★ SINGING 
★ STAR TREK ★ MYSTERY AND SCIFI BOOKS ★ WESTERNS 
EMAIL: tgilli52@gmail.com",89453,117,2151,2291,65,FALSE,,,@SptsGuy1
"#politics More LINKS TO REMOVING TRUMP #Donald_Trump #Trump #removal #25thAmendment #2ndimpeachment
https://t.co/ofjHeb1PXQ",1/11/2021 1:52,en,,0,0,,"Tom Gillispie, WRITER/EDITOR","★ READING ★ WRITING ★ DOGS ★ FOOTBALL ★MIAMI DOLPHINS ★ SINGING 
★ STAR TREK ★ MYSTERY AND SCIFI BOOKS ★ WESTERNS 
EMAIL: tgilli52@gmail.com",89453,117,2151,2291,65,FALSE,,,@SptsGuy1
"#Donald_Trump 

I demand Human Rights in #America
  Embed a Tweet
  That you seek to grant the legitimately elected President #Donald the right to continue the opinion in expressing his opinion, at least as an American citizen",1/10/2021 20:37,en,,0,0,,a7m_uk,Until my original account returns Enjoy a colorful life 🌈🛵 .. Enjoy 🇺🇳 ️,362,36,186,22,0,FALSE,,,@A7mUk
"@amhfarraj 

@obai1d 

I trust your transfer and information 🇺🇸
#Donald_Trump 💪🏻 https://t.co/g2bETJjFW9",1/10/2021 20:29,en,,0,0,@amhfarraj,a7m_uk,Until my original account returns Enjoy a colorful life 🌈🛵 .. Enjoy 🇺🇳 ️,362,36,186,22,0,FALSE,,,@A7mUk
"#politics LINKS TO REMOVING TRUMP #Donald_Trump #Trump #removal
https://t.co/ofjHeb1PXQ",1/10/2021 19:37,en,,0,0,,"Tom Gillispie, WRITER/EDITOR","★ READING ★ WRITING ★ DOGS ★ FOOTBALL ★MIAMI DOLPHINS ★ SINGING 
★ STAR TREK ★ MYSTERY AND SCIFI BOOKS ★ WESTERNS 
EMAIL: tgilli52@gmail.com",89453,117,2151,2291,65,FALSE,,,@SptsGuy1
